API로 데이터 수집 (820일치)...
저장: /Users/sunny/Desktop/ai-lab/trading/rl/eth_30m_v41.csv
학습: 29760개 (2023-12-21 ~ 2025-09-01)
테스트: 9572개 (2025-09-01 ~ 2026-03-19)
레버리지: 3x | 피처: 10개 | 스텝: 2,000,000

[19:08:37] 학습 시작
[19:09:02] 스텝    20,000/2,000,000 (  1.0%) | 평균보상: N/A | ETA: ~40분
[19:09:27] 스텝    40,000/2,000,000 (  2.0%) | 평균보상: N/A | ETA: ~40분
[19:09:52] 스텝    60,000/2,000,000 (  3.0%) | 평균보상: N/A | ETA: ~40분
[19:10:17] 스텝    80,000/2,000,000 (  4.0%) | 평균보상: N/A | ETA: ~40분
[19:10:42] 스텝   100,000/2,000,000 (  5.0%) | 평균보상: N/A | ETA: ~39분
[19:11:07] 스텝   120,000/2,000,000 (  6.0%) | 평균보상: N/A | ETA: ~39분
[19:11:31] 스텝   140,000/2,000,000 (  7.0%) | 평균보상: N/A | ETA: ~38분
[19:11:56] 스텝   160,000/2,000,000 (  8.0%) | 평균보상: N/A | ETA: ~38분
[19:12:21] 스텝   180,000/2,000,000 (  9.0%) | 평균보상: N/A | ETA: ~37분
[19:12:45] 스텝   200,000/2,000,000 ( 10.0%) | 평균보상: N/A | ETA: ~37분
[19:13:10] 스텝   220,000/2,000,000 ( 11.0%) | 평균보상: N/A | ETA: ~36분
[19:13:35] 스텝   240,000/2,000,000 ( 12.0%) | 평균보상: N/A | ETA: ~36분
[19:13:59] 스텝   260,000/2,000,000 ( 13.0%) | 평균보상: N/A | ETA: ~35분
[19:14:24] 스텝   280,000/2,000,000 ( 14.0%) | 평균보상: N/A | ETA: ~35분
[19:14:49] 스텝   300,000/2,000,000 ( 15.0%) | 평균보상: N/A | ETA: ~35분
[19:15:14] 스텝   320,000/2,000,000 ( 16.0%) | 평균보상: N/A | ETA: ~34분
[19:15:39] 스텝   340,000/2,000,000 ( 17.0%) | 평균보상: N/A | ETA: ~34분
[19:16:04] 스텝   360,000/2,000,000 ( 18.0%) | 평균보상: N/A | ETA: ~33분
[19:16:28] 스텝   380,000/2,000,000 ( 19.0%) | 평균보상: N/A | ETA: ~33분
[19:16:52] 스텝   400,000/2,000,000 ( 20.0%) | 평균보상: N/A | ETA: ~32분
[19:17:16] 스텝   420,000/2,000,000 ( 21.0%) | 평균보상: N/A | ETA: ~32분
[19:17:40] 스텝   440,000/2,000,000 ( 22.0%) | 평균보상: N/A | ETA: ~32분
[19:18:04] 스텝   460,000/2,000,000 ( 23.0%) | 평균보상: N/A | ETA: ~31분
[19:18:28] 스텝   480,000/2,000,000 ( 24.0%) | 평균보상: N/A | ETA: ~31분
[19:18:52] 스텝   500,000/2,000,000 ( 25.0%) | 평균보상: N/A | ETA: ~30분
[19:19:16] 스텝   520,000/2,000,000 ( 26.0%) | 평균보상: N/A | ETA: ~30분
[19:19:40] 스텝   540,000/2,000,000 ( 27.0%) | 평균보상: N/A | ETA: ~29분
[19:20:04] 스텝   560,000/2,000,000 ( 28.0%) | 평균보상: N/A | ETA: ~29분
[19:20:29] 스텝   580,000/2,000,000 ( 29.0%) | 평균보상: N/A | ETA: ~29분
[19:20:53] 스텝   600,000/2,000,000 ( 30.0%) | 평균보상: N/A | ETA: ~28분
[19:21:18] 스텝   620,000/2,000,000 ( 31.0%) | 평균보상: N/A | ETA: ~28분
[19:21:42] 스텝   640,000/2,000,000 ( 32.0%) | 평균보상: N/A | ETA: ~27분
[19:22:07] 스텝   660,000/2,000,000 ( 33.0%) | 평균보상: N/A | ETA: ~27분
[19:22:31] 스텝   680,000/2,000,000 ( 34.0%) | 평균보상: N/A | ETA: ~26분
[19:22:56] 스텝   700,000/2,000,000 ( 35.0%) | 평균보상: N/A | ETA: ~26분
[19:23:20] 스텝   720,000/2,000,000 ( 36.0%) | 평균보상: N/A | ETA: ~26분
[19:23:45] 스텝   740,000/2,000,000 ( 37.0%) | 평균보상: N/A | ETA: ~25분
[19:24:09] 스텝   760,000/2,000,000 ( 38.0%) | 평균보상: N/A | ETA: ~25분
[19:24:34] 스텝   780,000/2,000,000 ( 39.0%) | 평균보상: N/A | ETA: ~24분
[19:24:59] 스텝   800,000/2,000,000 ( 40.0%) | 평균보상: N/A | ETA: ~24분
[19:25:23] 스텝   820,000/2,000,000 ( 41.0%) | 평균보상: N/A | ETA: ~24분
[19:25:48] 스텝   840,000/2,000,000 ( 42.0%) | 평균보상: N/A | ETA: ~23분
[19:26:13] 스텝   860,000/2,000,000 ( 43.0%) | 평균보상: N/A | ETA: ~23분
[19:26:38] 스텝   880,000/2,000,000 ( 44.0%) | 평균보상: N/A | ETA: ~22분
[19:27:03] 스텝   900,000/2,000,000 ( 45.0%) | 평균보상: N/A | ETA: ~22분
[19:27:33] 스텝   920,000/2,000,000 ( 46.0%) | 평균보상: N/A | ETA: ~22분
[19:28:07] 스텝   940,000/2,000,000 ( 47.0%) | 평균보상: N/A | ETA: ~21분
[19:28:34] 스텝   960,000/2,000,000 ( 48.0%) | 평균보상: N/A | ETA: ~21분
[19:29:00] 스텝   980,000/2,000,000 ( 49.0%) | 평균보상: N/A | ETA: ~21분
[19:29:26] 스텝 1,000,000/2,000,000 ( 50.0%) | 평균보상: N/A | ETA: ~20분
[19:29:50] 스텝 1,020,000/2,000,000 ( 51.0%) | 평균보상: N/A | ETA: ~20분
[19:30:15] 스텝 1,040,000/2,000,000 ( 52.0%) | 평균보상: N/A | ETA: ~19분
[19:30:40] 스텝 1,060,000/2,000,000 ( 53.0%) | 평균보상: N/A | ETA: ~19분
[19:31:05] 스텝 1,080,000/2,000,000 ( 54.0%) | 평균보상: N/A | ETA: ~19분
[19:31:30] 스텝 1,100,000/2,000,000 ( 55.0%) | 평균보상: N/A | ETA: ~18분
[19:31:57] 스텝 1,120,000/2,000,000 ( 56.0%) | 평균보상: N/A | ETA: ~18분
[19:32:22] 스텝 1,140,000/2,000,000 ( 57.0%) | 평균보상: N/A | ETA: ~17분
[19:32:47] 스텝 1,160,000/2,000,000 ( 58.0%) | 평균보상: N/A | ETA: ~17분
[19:33:12] 스텝 1,180,000/2,000,000 ( 59.0%) | 평균보상: N/A | ETA: ~17분
[19:33:37] 스텝 1,200,000/2,000,000 ( 60.0%) | 평균보상: N/A | ETA: ~16분
[19:34:02] 스텝 1,220,000/2,000,000 ( 61.0%) | 평균보상: N/A | ETA: ~16분
[19:34:27] 스텝 1,240,000/2,000,000 ( 62.0%) | 평균보상: N/A | ETA: ~15분
[19:34:51] 스텝 1,260,000/2,000,000 ( 63.0%) | 평균보상: N/A | ETA: ~15분
[19:35:16] 스텝 1,280,000/2,000,000 ( 64.0%) | 평균보상: N/A | ETA: ~14분
[19:35:41] 스텝 1,300,000/2,000,000 ( 65.0%) | 평균보상: N/A | ETA: ~14분
[19:36:06] 스텝 1,320,000/2,000,000 ( 66.0%) | 평균보상: N/A | ETA: ~14분
[19:36:31] 스텝 1,340,000/2,000,000 ( 67.0%) | 평균보상: N/A | ETA: ~13분
[19:36:55] 스텝 1,360,000/2,000,000 ( 68.0%) | 평균보상: N/A | ETA: ~13분
[19:37:20] 스텝 1,380,000/2,000,000 ( 69.0%) | 평균보상: N/A | ETA: ~12분
[19:37:44] 스텝 1,400,000/2,000,000 ( 70.0%) | 평균보상: N/A | ETA: ~12분
[19:38:09] 스텝 1,420,000/2,000,000 ( 71.0%) | 평균보상: N/A | ETA: ~12분
[19:38:34] 스텝 1,440,000/2,000,000 ( 72.0%) | 평균보상: N/A | ETA: ~11분
[19:38:59] 스텝 1,460,000/2,000,000 ( 73.0%) | 평균보상: N/A | ETA: ~11분
[19:39:24] 스텝 1,480,000/2,000,000 ( 74.0%) | 평균보상: N/A | ETA: ~10분
[19:39:48] 스텝 1,500,000/2,000,000 ( 75.0%) | 평균보상: N/A | ETA: ~10분
[19:40:13] 스텝 1,520,000/2,000,000 ( 76.0%) | 평균보상: N/A | ETA: ~9분
